x,y
538047.1,6583350.65
538027.53,6583332.47
538027.19,6583350.08
538113.47,6583312.01
537899.11,6583280.37
537981.41,6583258.85
537931.6,6583266.24
537766.29,6583251.74
537850.24,6583234.02
537817.03,6583200.27
537753.25,6583186
537679.37,6583218.19
537669.01,6583184.49
537691.96,6583162.88
537622,6583211
537496.35,6583189.74
537534.12,6583147.18
537485.98,6583130.42
539805.76,6581776.29
539734.8,6581789.47
539914.71,6581898.71
539923.15,6581908.81
539886.08,6581879.86
539736.96,6581756.59
539724.61,6581712.88
539691.69,6581778.31
539657.31,6581771.17
539592.71,6581715.9
539637.84,6581769.99
539537.3,6581721.43
539620.84,6581767.62
539598.06,6581765.25
539455.5,6581696.56
539586.16,6581797.21
539406.99,6581692.88
539558.9,6581756.08
539521.95,6581751.32
543082.69,6581317.77
543122.51,6581315.13
538213,6582945
538214,6582942
538225.39,6582917.55
538194.85,6582921.4
538290.01,6582757.1
538310.28,6582710.65
538354.8,6582570.93
538354.8,6582570.93
538416.91,6582543.2
538371.34,6582541
538405.21,6582464.53
538611.97,6582078.65
538641.24,6582041.13
538504.56,6582211.82
538647.16,6581993.73
538570.99,6582088.08
538580.69,6582062.46
538561.05,6582067.2
538598.47,6582019.23
538573.99,6582005.89
538832.17,6581794.45
538648.31,6581891.27
538636.33,6581843.51
538675.01,6581704.01
538923.37,6581494.83
538797.99,6582822.73
538791.72,6582836.88
538752.8,6582841.34
538504.72,6582866.12
538520.04,6582846.06
538470.59,6582850.51
538440,6582856
538511.03,6582915.1
538399.68,6582824.2
538384.3,6582807.78
538377.04,6582788.95
538442.6,6582906.04
538409.04,6582889.31
538318.76,6582789.56
538319.03,6582833.71
538232.87,6582763.74
538207.18,6582755.8
538240.06,6582797.73
538236.27,6582815.08
538104.08,6582698.53
538077.14,6582703.13
538103.33,6582744.37
538106.03,6582762.69
538053.07,6582677.38
538082.95,6582751.29
538013.62,6582674.79
538024.85,6582733.86
537935.2,6583128.18
537917.23,6583188.89
537976.14,6583170.22
537945.46,6583224.45
537879.62,6583449.19
537843.24,6583420.27
537873.54,6583475.08
537842.26,6583445.24
537872.56,6583499.81
537812.84,6583474.5
535717.66,6580633.33
535747.34,6580628.11
535684.05,6580694.87
535665.76,6580767.66
535680.75,6580671.85
535654.69,6580718.93
535655.12,6580693.17
535670.4,6580582.4
535649.22,6580652.47
535642.96,6580614.86
535617.27,6580619.4
535644.12,6580396.22
535639.14,6580362.72
535570.63,6580598.62
535589.35,6580558.92
535612.48,6580556.96
535634.47,6580553.08
535629.8,6580523.09
535625.72,6580494.2
536908.96,6582545.85
536462.44,6582607.4
536426.14,6582615.53
536728.83,6582538.36
536664.03,6582544.36
536346.51,6582599.6
536314.93,6582605.56
536597.37,6582551.97
536588.3,6582556.84
536579.54,6582541.36
536564.62,6582560.46
536264.09,6582574.41
536467.43,6582569.56
536132.45,6582515.22
536417.05,6582570.12
536023.27,6582438.73
536288,6582547
536251.82,6582538.07
536136.03,6582476.65
536117.91,6582463.93
536085.32,6582437.7
536051.92,6582394.6
536175.45,6583504.68
536173.95,6583558.95
537037.03,6581758.4
537052.13,6581850.78
537036,6581812
537082.82,6581811.94
537055.46,6581792.95
537069.85,6581776.98
537038.35,6581712.58
537056.4,6581692.8
537090.12,6581727.05
537132.28,6581747.42
537140.31,6581762.57
537248.98,6581705.81
537211.06,6581688.34
537259.39,6581725.71
537206.7,6581652.93
